SN,TEST_NAME,sub_test_name,test_result,lower_limit,upper_limit,test_value,process,mapping_process,endtime,[station_id],[fixture_id]
FM792120244L82LC522,639.S,639.S,pass,0.185,0.495,0.34,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7914400AYM0XCE713,A147.N,A147-ML01.N,pass,3.975,4.235,4.093,ump-t3,mlb-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM792120244L82LC522,469.L,469-TS.L,pass,0.145,0.265,0.233,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79196004LL82JC019,472.L,472-TD.L,pass,0.145,0.265,0.228,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914300GEM0XCE813,A326.Y,A326-M.Y,pass,0,0.065,0.007,ump-t3,trim-sp-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM792120244L82LC522,237.N,237-01.N,pass,0.405,0.515,0.471,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM792120244L82LC522,237.N,237-01.N,pass,0.405,0.515,0.471,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7914400EEM0XCED13,A129.N,A129.N,pass,5.555,5.905,5.737,ump-t3,la-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79207006JL82JCM19,560.N,560.N,pass,1.315,1.385,1.344,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700C1M0XDEX13,319.Y,319.Y,pass,0.085,0.265,0.175,ump-t3,CNC5-2,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79207006KL82JCL19,482.L,482-N.L,pass,0.825,0.945,0.908,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921100MVL82LC022,471.L,471.L,pass,0.145,0.265,0.25,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79213002LL82LCW22,093.L,093.L,pass,1.365,1.485,1.418,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79206003VM0XDCB19,470.L,470-TN.L,pass,0.145,0.265,0.21,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921300K4L82LCV22,336.L,336.L,pass,13.095,13.205,13.145,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7920300CCM0XDC419,234.N,234.N,pass,0.175,0.255,0.211,ump-t1,Grinding,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79136001RM0XDE713,711.Z,711-10.Z,pass,-0.085,0.085,-0.013,ump-t3,polish1,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7914400P7M0XCET13,A008.N,A008-East.N,pass,-3.5,3.5,0,ump-t3,CNC6,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921100N1L82LCR22,124.N,124-11.N,pass,0.115,0.325,0.184,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79141013DM0XDEE13,A022.N,A022-15-C3.N,pass,-0.005,0.155,0.019,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7913700C1M0XDEX13,531.Z,531-23.Z,pass,-0.005,0.305,0.193,ump-t3,CNC5-1,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM791360040M0XDEP13,A131.N,A131-B2.N,pass,7.145,7.455,12.98,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79207004KL82LCQ22,071.L,071.L,pass,0.815,0.975,0.863,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM792130106L82LCF22,641.S,641.S,pass,0.235,0.545,0.445,ump-t1,CNC7,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79207006JL82JCM19,126.N,126-05.N,pass,0.145,0.355,0.154,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM791360040M0XDEP13,A128.N,A128-B1.N,pass,31.275,31.685,31.5,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700C1M0XDEX13,A039.Z,A039.Z,pass,-0.025,0.025,-0.003,ump-t3,Grinding,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM792120244L82LC522,469.L,469-TS.L,pass,0.145,0.265,0.233,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM792120244L82LC522,484.L,484-B01.L,pass,1.365,1.485,1.481,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79213002LL82LCW22,124.N,124.N,pass,0.115,0.325,0.199,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79207006TL82JCC19,589.L,589-01.L,pass,-0.055,0.055,-0.006,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921200BLL82JAC22,123.L,123.L,pass,0.01,0.22,0.086,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79137005HM0XDE213,A122.N,A122-B2.N,pass,7.145,7.455,1.357,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700DQM0XDE513,A331.N,A331.N,pass,4.915,5.225,5.075,ump-t3,mlb-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7914101G6M0XDEG13,A147.N,A147-ML03.N,pass,3.975,4.235,4.113,ump-t3,mlb-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7913700DQM0XDE513,A224.Y,A224-A02.Y,pass,0.455,0.615,0.498,ump-t3,trim-sp-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921202JPL82LCC22,486.L,486-B03.L,pass,1.365,1.485,1.427,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914101G6M0XDEG13,A132.N,A132-B3.N,pass,23.645,23.955,-22.472,ump-t3,mlb-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7914101G6M0XDEG13,A022.N,A022-33.N,pass,-0.005,0.155,-0.021,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7920500EAL82KC619,485.L,485-B01.L,pass,1.365,1.485,1.382,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921100HPL82LCJ22,259.S,259-P234.S,pass,0.205,0.515,0.245,ump-t1,CNC7,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921200SGL82LCX22,257.S,257.S,pass,0.615,1.025,0.823,ump-t1,CNC7,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700DQM0XDE513,A115.N,A115.N,pass,12.055,12.465,12.326,ump-t3,ua-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921201HRL82LCE22,010.L,010-01.L,pass,0.895,1.105,1.044,ump-t1,Grinding,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79137005HM0XDE213,A042.Z,A042.Z,pass,-0.025,0.025,-0.004,ump-t3,Grinding,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7914100KLM0XDEU13,A140.N,A140.N,pass,14.565,14.975,14.838,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921202DNL82LCU22,488.L,488.L,pass,1.365,1.485,1.43,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914400CLM0XCED13,A126.N,A126.N,pass,24.325,24.735,24.42,ump-t3,la-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM792060108M0XDC619,488.L,488-B02.L,pass,1.365,1.485,1.454,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7919600B6L82JCT19,473.L,473-TU.L,pass,0.145,0.265,0.233,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7914100KLM0XDEU13,A224.Y,A224-A04.Y,pass,0.455,0.615,0.488,ump-t3,trim-sp-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7914400B5M0XCEX13,A124.N,A124.N,pass,32.235,32.645,32.367,ump-t3,ua-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7919700GBL82JC619,158.L,158.L,pass,3.655,3.865,3.825,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914100KLM0XDEU13,A128.N,A128-B1.N,pass,31.275,31.685,31.468,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7913700XDM0XDEW13,A224.Y,A224-M04.Y,pass,0.455,0.615,0.498,ump-t3,trim-sp-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921300XML82LCA22,237.N,237.N,pass,0.405,0.515,0.468,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79141013DM0XDEE13,157.Y,157.Y,pass,3.115,3.385,3.306,ump-t3,CNC5-2,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79141013DM0XDEE13,A135.N,A135.N,pass,1.035,1.345,1.201,ump-t3,mlb-nut-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700XDM0XDEW13,531.Z,531-23.Z,pass,-0.005,0.305,0.195,ump-t3,CNC5-1,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7913700F6M0XDEH13,A144.N,A144-LA03.N,pass,2.235,2.495,2.337,ump-t3,CNC7,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7913700XDM0XDEW13,A225.N,A225-B2.N,pass,1.115,1.525,1.346,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79136001RM0XDE713,A111.N,A111-B1.N,pass,5.635,5.945,5.741,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7914400Q5M0XCES13,A122.N,A122-B1.N,pass,7.145,7.455,7.317,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79144018MM0XCEP13,A036.N,A036-UR.N,pass,-0.025,0.025,0.001,ump-t3,Grinding,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79191004VM0XDEF18,342.L,342.L,pass,0.065,0.185,0.105,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921202DNL82LCU22,450.L,450-06.L,pass,0.01,0.22,0.078,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79144018MM0XCEP13,531.Z,531-South.Z,pass,-2,1.9,0,ump-t3,CNC5-1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7914100KLM0XDEU13,531.Z,531-23.Z,pass,-0.005,0.305,0.187,ump-t3,CNC5-1,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM791430021M0XCEV13,A001.N,A001-10.N,pass,4.615,4.855,4.778,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7913700LKM0XDEP13,A224.Y,A224-A01.Y,pass,0.455,0.615,0.501,ump-t3,trim-sp-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79213007RL82LCA22,011.L,011-01.L,pass,0.895,1.105,1.012,ump-t1,Grinding,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM792060108M0XDC619,234.N,234-03.N,pass,0.175,0.255,0.225,ump-t1,Grinding,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79213007RL82LCA22,484.L,484.L,pass,1.365,1.485,1.431,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM792120007L82KAP22,484.L,484.L,pass,1.365,1.485,1.451,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM791360040M0XDEP13,531.Z,531-15.Z,pass,-0.005,0.305,0.173,ump-t3,CNC5-1,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79207005AL82JCY19,491.L,491.L,pass,1.395,1.555,1.487,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM791360040M0XDEP13,A005.Z,A005-03.Z,pass,157.805,158.115,157.969,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921100MVL82LC022,SIM.L,SIM-BIN.L,pass,-0.075,0.075,-0.015,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921200KZL82LC122,482.L,482-S.L,pass,0.825,0.945,0.892,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM792070073L82JCZ19,483.L,483-S.L,pass,0.825,0.945,0.923,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7920700JLL82KCG19,071.L,071.L,pass,0.815,0.975,0.89,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79143007EM0XCE113,A109.N,A109.N,pass,13.435,13.745,13.508,ump-t3,mlb-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7914300GEM0XCE813,A224.Y,A224-O03.Y,pass,0.455,0.615,0.505,ump-t3,trim-sp-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
